China,United States,Europe,Russia,India,Latin America,Africa,Trade & Policy,Risk & Security,Hot Topics,company,year
1056,124,5,4,2,3,0,182,24,74,BABA,2015
1056,124,5,4,2,3,0,182,24,74,BABA,2015
1141,126,12,5,2,2,1,254,58,73,BABA,2016
1141,126,12,5,2,2,1,254,58,73,BABA,2016
1164,127,13,8,12,1,1,278,62,107,BABA,2017
1164,127,13,8,12,1,1,278,62,107,BABA,2017
1180,136,20,8,9,2,1,332,68,120,BABA,2018
1180,136,20,8,9,2,1,332,68,120,BABA,2018
1109,130,19,7,9,1,1,362,71,130,BABA,2019
1109,130,19,7,9,1,1,362,71,130,BABA,2019
945,124,17,33,5,1,1,341,55,123,BABA,2020
945,124,17,33,5,1,1,341,55,123,BABA,2020
962,138,17,24,4,1,1,396,73,144,BABA,2021
962,138,17,24,4,1,1,396,73,144,BABA,2021
1081,144,23,26,1,1,1,398,113,163,BABA,2022
1081,144,23,26,1,1,1,398,113,163,BABA,2022
1436,180,27,5,1,0,1,496,123,184,BABA,2023
1436,180,27,5,1,0,1,496,123,184,BABA,2023
1348,190,43,5,1,0,1,526,119,195,BABA,2024
1348,190,43,5,1,0,1,526,119,195,BABA,2024
319,30,6,0,0,0,0,84,14,26,BABA,2025
319,30,6,0,0,0,0,84,14,26,BABA,2025
397,45,0,0,0,0,0,107,11,22,BIDU,2006
397,45,0,0,0,0,0,107,11,22,BIDU,2006
511,48,0,0,0,0,0,125,13,22,BIDU,2007
511,48,0,0,0,0,0,125,13,22,BIDU,2007
626,53,2,0,0,0,0,131,14,28,BIDU,2008
626,53,2,0,0,0,0,131,14,28,BIDU,2008
636,57,2,0,0,0,0,115,14,29,BIDU,2009
636,57,2,0,0,0,0,115,14,29,BIDU,2009
642,52,0,0,0,0,0,120,13,27,BIDU,2010
642,52,0,0,0,0,0,120,13,27,BIDU,2010
658,56,0,0,0,0,0,125,12,28,BIDU,2011
658,56,0,0,0,0,0,125,12,28,BIDU,2011
709,63,3,0,0,0,1,132,18,32,BIDU,2012
709,63,3,0,0,0,1,132,18,32,BIDU,2012
718,55,3,0,0,0,1,134,20,29,BIDU,2013
718,55,3,0,0,0,1,134,20,29,BIDU,2013
724,55,2,1,0,1,1,121,19,29,BIDU,2014
724,55,2,1,0,1,1,121,19,29,BIDU,2014
755,49,2,1,0,1,1,127,20,29,BIDU,2015
