entity_type,entity_id,address_raw,addr_line,locality,region,postal_code,country_iso3,source_accession,address_type,parse_confidence,addr_id
subsidiary,68cbf0e7-2a11-5a6d-a3d4-460175f5c934,,,,,,HKG,0001104659-24-051610,,1.0,123d1029aeba40fd4661559be35282d8
subsidiary,849a78a4-5f5c-52ee-ac04-375f21920293,,,,,,CHN,0001104659-24-051610,,1.0,eb1c88297cd4ce02a1ed5a4f4f90c464
subsidiary,195599fe-823f-519e-bd0e-4c625d294f3a,,,,,,CHN,0001104659-24-051610,,1.0,af3a5c198cf1d11b990896861426f7fe
subsidiary,b7368cbe-5965-52fd-b5d9-ebcf8ad78559,,,,,,VGB,0001104659-24-051610,,1.0,23c9ca22b6a90f442b2b50f8aeede0d3
subsidiary,bc64ca8b-375b-572c-a2a5-dd98fc79842a,,,,,,CYM,0001104659-24-051610,,1.0,8bf9873655ccb0d46bf103410012253d
subsidiary,5ea6e17e-dee8-5e57-9431-67f2befb9907,,,,,,HKG,0001104659-24-051610,,1.0,e4563d2e780113e60b37bf100d4c6921
subsidiary,c3000a78-64f4-5f92-b357-905208d12cab,,,,,,VGB,0001104659-24-051610,,1.0,a1c781d0a57d11bf112f3c75ebe6d606
subsidiary,9eb2681f-687e-52de-b5c6-5ed599b22b81,,,,,,VGB,0001104659-24-051610,,1.0,9bc8c8cdbab676e843ee185e116e74fb
subsidiary,4aefdd25-49a4-5c5e-a09e-99c6d80b8820,,,,,,SGP,0001104659-24-051610,,1.0,7bf581871829e7f55b35c2f239efb8b4
subsidiary,04560fc2-497d-528f-9075-959ad8c55da7,,,,,,IRL,0001104659-24-051610,,1.0,ac0a4bf3bd94ea741acddb916c637bf8
subsidiary,f86bb853-e910-582c-b5d2-9cb10a87fc6a,,,,,,USA,0001104659-24-051610,,1.0,5ab00ee01f650a7cb3b375ca3605dd2a
subsidiary,40b574c9-a5e8-5235-97fd-8ee8c52098e8,,,,,,USA,0001104659-24-051610,,1.0,caae1fbc9bade5776a4b0d5ab1f5334a
subsidiary,395c43c8-b7f1-5e90-a137-178e758524c5,,,,,,CHN,0001104659-24-051610,,1.0,8fcade53603b13e7af81b46eb39872ce
subsidiary,b310c621-ccc1-5c0a-8097-a4d3463f4c4e,,,,,,CHN,0001104659-24-051610,,1.0,606db526db0de4b37bee28445390c952
subsidiary,2aacc3b7-c198-5669-980a-a772268cabb0,,,,,,HKG,0001104659-21-055902,,1.0,bbc5b7f9cd43f663c4e369563b1b9540
subsidiary,91a19848-d981-599e-b3e3-05f8f2da2c04,,,,,,CHN,0001104659-21-055902,,1.0,66b4a53469732da5e861cea216edd290
subsidiary,bd9ebcbf-408e-5366-9df1-34017495db75,,,,,,CHN,0001104659-21-055902,,1.0,12211d3b973df278913e91b8cb7d0148
subsidiary,d46a1d94-1aca-53cd-9762-4081fb02b636,,,,,,CHN,0001104659-21-055902,,1.0,8a3e98f3a764a1386b2c0344003cb5e7
subsidiary,3c4e9921-310a-5ab9-9629-383744414361,,,,,,CHN,0001104659-21-055902,,1.0,3b943ed2dd1e24e96eea4ac384d45df4
subsidiary,0182eeda-ee66-568d-bd95-07f624902764,,,,,,CYM,0001104659-19-021236,,1.0,00997e0c50a978cd88e4c5075f560fdd
subsidiary,2c45a473-b656-5267-8cc5-8bb9eee2061c,,,,,,CYM,0001104659-19-021236,,1.0,8235fddd231183d5ce4c6d80a9baebf9
subsidiary,5b43fe04-d606-5c66-a336-5a4d772d88b1,,,,,,CYM,0001104659-19-021236,,1.0,d265eab075a305082d0c0ab98ada7b43
subsidiary,2f0c7755-1276-50b7-95bb-8bd90b7c28db,,,,,,CYM,0001104659-19-021236,,1.0,25d51284e7175bb9f9c14b1b314d6542
subsidiary,f8ee620c-4a0e-537a-af55-83c048282f2d,,,,,,CYM,0001104659-19-021236,,1.0,ac87780a9b52422aeffa0d353a01395f
subsidiary,03518bf5-7b38-57dc-af97-e8ca0fed50a5,,,,,,CYM,0001104659-19-021236,,1.0,c1c246b8cf11d9fd060983ece145d6e2
subsidiary,0e900f4f-66ec-5da9-8490-7ede167d086f,,,,,,VGB,0001104659-19-021236,,1.0,b3b6b57ef2e7d3e138a9f27f17ae0f74
subsidiary,9720c4ea-8784-584c-8d34-08d0a1902af8,,,,,,VGB,0001104659-19-021236,,1.0,cb1174773b0cc4e8f7858217b812c155
subsidiary,2406445a-7f8c-5439-a1cb-2baad9dfaac4,,,,,,HKG,0001104659-19-021236,,1.0,eb85ced09b1c0324904ca1c96c0fe2b8
subsidiary,8adbbe92-b13c-58fb-b6a1-ac54ab74e0b8,,,,,,HKG,0001104659-19-021236,,1.0,9588a25828b2ea8205ba8c7feb2de34b
subsidiary,dd2ce34d-5dd4-5a42-9011-c895bb1156e2,,,,,,HKG,0001104659-19-021236,,1.0,3d88e45daddd2b07a519c5c3cfed69eb
subsidiary,565967f7-b04e-5bc3-9497-0f026e251b72,,,,,,HKG,0001104659-19-021236,,1.0,257b80b7b5b572bed02febbdc6f78079
subsidiary,a28d8b09-f9e1-5ac5-a493-1a2da39df200,,,,,,HKG,0001104659-19-021236,,1.0,9e27cf885b4e886ed1e7d7cdaf0c025f
subsidiary,5b603f87-9504-5b60-b14b-fe24c4a0ddf9,,,,,,HKG,0001104659-19-021236,,1.0,6152b89dea01fb2cf00927982cbe28ea
subsidiary,0b6cc59e-2633-5de9-aa6e-ea5224913c67,,,,,,HKG,0001104659-19-021236,,1.0,4a155b845b441e67d0ec84d9e26970d4
subsidiary,8f8dec46-9f31-583d-a7c3-0c3ef6ae6ed4,,,,,,SGP,0001104659-19-021236,,1.0,024fcf2d5e95a912ef4843ba4cc9b1d1
subsidiary,4e15847a-b1f7-5b96-91ff-d689202a5a1b,,,,,,USA,0001104659-19-021236,,1.0,74fb0bcb23db76b8133fc3eefa620a89
subsidiary,8e0dc47a-2a27-507d-9615-d8672de33f46,,,,,,CHN,0001104659-19-021236,,1.0,ab1cb13727b26d2245f2d36527322abb
subsidiary,fc0cba22-7012-5113-a2e1-0eeff09f099c,,,,,,CHN,0001104659-19-021236,,1.0,b4efd2adc7e8127ecc354370e4fbe9bf
subsidiary,b8826e4e-f9a4-5c69-93af-7232b79f3085,,,,,,CHN,0001104659-19-021236,,1.0,9b73b7b3fe69a36a6005d9e4f005eade
subsidiary,8984765c-8059-5794-b058-eff6e2514c01,,,,,,CHN,0001104659-19-021236,,1.0,dd276f9c1b30f4a18548bf14164c8048
subsidiary,71c2affc-143b-5921-9f21-8ec9d547d7a6,,,,,,CHN,0001104659-19-021236,,1.0,d09f8ba6247e340aa25a3000a09f7db5
subsidiary,e839dea1-6709-5ca5-b755-4a64088d2e8d,,,,,,CHN,0001104659-19-021236,,1.0,6a1c2392d260a369b9867ff687a3c605
subsidiary,d791c049-3a24-5643-a3ca-b22fe64a8fcb,,,,,,CHN,0001104659-19-021236,,1.0,f082400a21bfefe12a6b873415b19d51
subsidiary,0ba1ed5f-8ac9-5856-ab9f-387e432d4be7,,,,,,CHN,0001104659-19-021236,,1.0,6033e1cdc6ff34dde99c0b7d0c01bf19
subsidiary,836ac356-1d4d-56ae-a32a-56dc56d18aa2,,,,,,CHN,0001104659-19-021236,,1.0,3ce49a1b0378080470412a22f8b001d5
subsidiary,547baa27-37b7-5c63-89cb-8f93645222ca,,,,,,CHN,0001104659-19-021236,,1.0,099e6c69a1515e4e9de20c160d2ce666
subsidiary,d91efca6-0437-5eed-82cc-bf5c0d435810,,,,,,CHN,0001104659-19-021236,,1.0,db406767e61173c563297248459143ad
subsidiary,a59540a5-a5f6-5aab-affe-90b73507e941,,,,,,CHN,0001104659-19-021236,,1.0,c167d9ec8971f626ce58157564f47018
subsidiary,f5d81194-9d75-55a5-b9a7-4fa28b1d20a8,,,,,,CHN,0001104659-19-021236,,1.0,67dbc146f0d9bc26619a57198b9312aa
subsidiary,9fdf08e9-240b-5db4-84af-7588f316116c,,,,,,CHN,0001104659-19-021236,,1.0,fd84ac87fe8094a454bf6218a172065f
subsidiary,3b6ff796-7abe-5757-9190-026c38dea38a,,,,,,CHN,0001104659-19-021236,,1.0,d2049a17727bf47d511f0ece12be632e
subsidiary,1c00611a-f22d-51cd-9e52-1d7606f5eada,,,,,,CHN,0001104659-19-021236,,1.0,bb868ae8920c0dc55c46464a6fc0be7a
subsidiary,2cbbe2b6-07a0-5e7e-949c-0add2dbdd766,,,,,,CHN,0001104659-19-021236,,1.0,9cc897b19d3291e4660a123f8fa61c5a
subsidiary,79b80adc-810f-5656-b4dd-fa8f2424aac1,,,,,,CHN,0001104659-19-021236,,1.0,68a4dc6874ff4dbb4eef86d5ffe4ad41
subsidiary,e4def36b-a00a-5d12-89bc-a65dbe157866,,,,,,HKG,0001410578-25-000678,,1.0,a92a6e1e4c2179a8ea3a0ea694bf31f1
subsidiary,06095afa-9075-58ea-b8e8-22f2ac8e64a0,,,,,,CHN,0001410578-25-000678,,1.0,9f16f9f4bfeb5897d781f9b2f6ed25d0
subsidiary,8e1b5972-1473-5878-918e-c524449ce37b,,,,,,CHN,0001410578-25-000678,,1.0,4b4cfa40f07a416e1ddc584c0f09fe1b
subsidiary,3a8794dd-3455-5a81-b374-8aee5ee3ebed,,,,,,CHN,0001410578-25-000678,,1.0,a3a8a69e58a9f3e7a61650865bc0f9ee
subsidiary,c6cac48b-3d47-5b69-9e36-0769f162a5d9,,,,,,CHN,0001410578-25-000678,,1.0,503347d045b491edfb09e3bd33172943
subsidiary,d46b00a2-b34a-5bd9-a320-a6bb4e14d407,,,,,,CHN,0001410578-25-000678,,1.0,addc5c3ddf1202ac26bea4f03100ad95
subsidiary,c525b793-ad36-5077-ba61-4f38a6d85e0b,,,,,,CHN,0001410578-25-000678,,1.0,e70bc49d5c25a4c04d7a55cbcaad1dd7
subsidiary,b7b7c3fd-6d6a-592b-bf7e-e26264d92848,,,,,,CHN,0001410578-25-000678,,1.0,3d886b470ed1c6525330bd3ad731a693
subsidiary,82b3e0d9-c63b-55d6-ba7e-db1761ea73e0,,,,,,CHN,0001410578-25-000678,,1.0,8c3bbe2a3cc6876207347c7414c3f89d
subsidiary,ce2aa111-bb31-59cd-9af8-ab73b55c9dc4,,,,,,CHN,0001410578-25-000678,,1.0,2e907df9bbc5a71d6ed5694e85074464
subsidiary,e68240dc-0c3d-5218-9db7-314d3d016a13,,,,,,CYM,0001410578-25-000783,,1.0,ba83aa42bc6a2ba5499d23511fae60e2
subsidiary,9f31ae2b-77b2-5b00-aea2-1f76d4800337,,,,,,CYM,0001410578-25-000783,,1.0,6080bdb7bf3d85ddda91c0928ab1d786
subsidiary,bd4222d4-8248-569e-99e8-d80b41aa4723,,,,,,HKG,0001410578-25-000783,,1.0,ecdbaff358d56865f1cc5b9e46321cfe
subsidiary,6963c17d-5b44-5b0f-b262-6a16ca4d64cc,,,,,,HKG,0001410578-25-000783,,1.0,97dbc7f1737480b8fc1c6a463b392316
subsidiary,11c4905d-8bb7-541c-9271-df88853bc317,,,,,,CHN,0001410578-25-000783,,1.0,87bbd775fa0ee9a6cc4964956b5187da
subsidiary,832ced93-bbe2-5540-b9f0-ba97fb831411,,,,,,CHN,0001410578-25-000783,,1.0,561f18ba943104a7d54c58330be3a4fb
subsidiary,71669808-ddfb-589f-8599-42866b30b3dc,,,,,,CHN,0001410578-25-000783,,1.0,c9641c1468dd3df73cdc44901e51080a
subsidiary,9458ce5f-acf3-56e8-a84d-26be455d2444,,,,,,CHN,0001410578-25-000783,,1.0,0cf991b076deb1a1946b1b77edbff402
subsidiary,b816d879-54aa-53c4-8908-70f617371666,,,,,,CHN,0001410578-25-000783,,1.0,8815212f1c0f10331e26036b03282864
subsidiary,fc267684-06c0-5cc8-8d30-c528a6607507,,,,,,CHN,0001410578-25-000783,,1.0,61fd5e0afd5ee58d6984508bc245ce84
subsidiary,e15aa3da-53f8-53f6-bba7-270c489a548a,,,,,,CHN,0001410578-25-000783,,1.0,116b07248fb06d7b9dcf24be0166e21e
subsidiary,4b92d5e2-12c3-5874-b1d1-f5a533dccde8,,,,,,CHN,0001410578-25-000783,,1.0,27f6f2e1b62ee16f71fd64f9ff1852d8
subsidiary,3be0f1f8-6d58-59a0-accd-0084f94a77df,,,,,,CHN,0001410578-25-000783,,1.0,25adbb2b3d5416f29d68437a9cf03c48
subsidiary,2ffa25d8-3011-56b7-9e98-bcdb73f33321,,,,,,CHN,0001410578-25-000783,,1.0,ae0f15140c99aafe022abb8e9bdfa20b
subsidiary,4be1e46d-073e-5291-8551-8a92fd0b82b0,,,,,,CHN,0001410578-25-000783,,1.0,27f20e6b20e9e1fdd9557c502cfacf10
subsidiary,d47e698a-aacd-58e7-b32b-de9723675108,,,,,,CHN,0001410578-25-000783,,1.0,733df88d9e26f56ed2dee35d690ebbce
subsidiary,4faef013-9000-5fb0-8b6e-1da6c2a435f8,,,,,,CHN,0001410578-25-000783,,1.0,074fdd264b4f02f9f62094762063962f
subsidiary,8129d4fb-32d7-50f3-9254-01530a492fe2,,,,,,CHN,0001410578-25-000783,,1.0,f9436d2b546dfcd8ac0abb49e7c12243
subsidiary,1e866f3e-8232-5b21-8712-94c7cc10a100,,,,,,CHN,0001410578-25-000783,,1.0,333afac017db62f51a0c179f1af88cee
subsidiary,414a6029-027e-5dd4-a5a0-baaa2d9325ec,,,,,,CHN,0001410578-25-000783,,1.0,b173d41504b0df7c2039343492aeb60f
subsidiary,13ff3299-53af-5afc-b3bf-c7aac6a3e03d,,,,,,CHN,0001410578-25-000783,,1.0,24520c3ab4d2ab7ec54b9ca20b5cca1d
subsidiary,a0f6e0e5-81cf-57b6-8bfc-8a08c3e67b44,,,,,,CHN,0001410578-25-000783,,1.0,9d5e2070b070d69addd2311082466156
subsidiary,36bf29c6-9df7-5169-87f8-0f6f5bb3179f,,,,,,CHN,0001410578-25-000783,,1.0,22761dd562afef3cc693a423f3b96e28
subsidiary,7c85ebfb-471e-5181-ad26-de7ae2ffdae7,,,,,,CHN,0001410578-25-000783,,1.0,67ed94e681aaf196ae2bb2deb6db41a4
subsidiary,e640f5e5-a7bb-5f9c-8cee-eefc66421832,,,,,,CHN,0001410578-25-000783,,1.0,b041d29ff102fc7e40c40a13ccb0581b
subsidiary,712be32c-29c5-5b6e-b335-48593b772a33,,,,,,CHN,0001410578-25-000783,,1.0,7527fd66503f06b6d3b5106f79d01bb7
subsidiary,314086ab-1c8d-5bb1-a372-80d3e9f75c14,,,,,,CHN,0001410578-25-000783,,1.0,5c3916de86c3987e98c66ab1494378b2
subsidiary,2d829d56-fd57-501f-9975-d608a4a31f22,,,,,,CHN,0001410578-25-000783,,1.0,125a226f1656e8c4e3fbdc935826c002
subsidiary,ae79252c-ff7f-563e-b43d-c343441a95b7,,,,,,CHN,0001410578-25-000783,,1.0,dfd2561372abc53dcea4a6a6042865de
subsidiary,b5951a5b-4691-541c-8fc1-b884034be6f7,,,,,,CHN,0001410578-25-000783,,1.0,3b616d4e60de6bc586a830cd71258692
subsidiary,89b20302-83b1-5c45-a80b-0561f364b91e,,,,,,CHN,0001410578-25-000783,,1.0,0f5a05d31f5349913929bb1aea7cc969
subsidiary,e4582487-2137-516d-8285-0c8a9bdc7d48,,,,,,CHN,0001410578-25-000783,,1.0,10b8cb41b4486cf8153814a065897036
subsidiary,012f2e27-3ec4-5fd6-b2de-5cc06a30915f,,,,,,CHN,0001410578-25-000783,,1.0,84b3c8983623546a47ef31eca75a5e88
subsidiary,6d386c46-736d-5361-ba37-b00a2f06a3f2,,,,,,CHN,0001410578-25-000783,,1.0,b1ff4c72ace12a528c983ce9f7ce04bf
subsidiary,d4f86c43-e73d-5aa5-9f33-d5ac583d84f7,,,,,,CHN,0001410578-25-000783,,1.0,3336257b8f8fdb11c248f1ac09c9833d
subsidiary,9fb4ade1-7d92-5a32-9b7a-0db128fc3ade,,,,,,CHN,0001410578-25-000783,,1.0,d849daf9d206b61d674ce04f1f3600ee
subsidiary,979e7ea6-a369-5eba-86b0-d33ba185703a,,,,,,CHN,0001410578-25-000783,,1.0,4e9bd62e09c4bc1157047f09c3eacfa7
