sub_uuid,parent_ticker,parent_cik10,subsidiary_name,jurisdiction_iso3,ownership_pct,first_seen_year,last_seen_year,accession,exhibit_label,parse_confidence,lineage
68cbf0e7-2a11-5a6d-a3d4-460175f5c934,PDD,1737806,HongKong Walnut Street Limited,HKG,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
849a78a4-5f5c-52ee-ac04-375f21920293,PDD,1737806,"Hangzhou Weimi Network Technology Co., Ltd.",CHN,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
88b55379-1c4d-5547-882b-9921c6e08c3b,PDD,1737806,​,,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
195599fe-823f-519e-bd0e-4c625d294f3a,PDD,1737806,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",CHN,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
b7368cbe-5965-52fd-b5d9-ebcf8ad78559,PDD,1737806,Radiance Sea Investment Limited,VGB,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
bc64ca8b-375b-572c-a2a5-dd98fc79842a,PDD,1737806,Radiance Sea Group Limited,CYM,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
5ea6e17e-dee8-5e57-9431-67f2befb9907,PDD,1737806,Radiance Sea Hong Kong Limited,HKG,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
c3000a78-64f4-5f92-b357-905208d12cab,PDD,1737806,Pinduoduo Investment Limited*,VGB,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
9eb2681f-687e-52de-b5c6-5ed599b22b81,PDD,1737806,Elementary Technology Limited,VGB,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
4aefdd25-49a4-5c5e-a09e-99c6d80b8820,PDD,1737806,Elementary Innovation Pte. Ltd.,SGP,,2024,2024,0001104659-24-051610,EX-8.1,1.0,companies\PDD\exhibits\0001104659-24-051610\EX-8.1.htm
