ticker,cik10,company_name_uscc,mapping_source,resolved_at
BABA,0001577552,Alibaba Group Holding Limited,SEC_official,2025-09-19T22:30:34.477176
PDD,0001737806,Pinduoduo Inc.,SEC_official,2025-09-19T22:30:34.477176
NTES,0001110646,"NetEase, Inc.",SEC_official,2025-09-19T22:30:34.477176
JD,0001549802,"JD.com, Inc.",SEC_official,2025-09-19T22:30:34.477176
TCOM,0001269238,"Trip.com International, Ltd.",SEC_official,2025-09-19T22:30:34.477176
BIDU,0001329099,"Baidu, Inc",SEC_official,2025-09-19T22:30:34.477176
LI,0001791706,Li Auto,SEC_official,2025-09-19T22:30:34.477176
BEKE,0001809587,KE Holdings,SEC_official,2025-09-19T22:30:34.477176
ONC,0001651308,BeiGene,SEC_official,2025-09-19T22:30:34.477176
TME,0001744676,Tencent Music Entertainment Group,SEC_official,2025-09-19T22:30:34.485321
XPEV,0001810997,Xpeng,SEC_official,2025-09-19T22:30:34.485321
YUMC,0001673358,Yum China Holdings Inc.,SEC_official,2025-09-19T22:30:34.485321
ZTO,0001677250,ZTO Express (Cayman) Inc.,SEC_official,2025-09-19T22:30:34.485321
YMM,0001838413,Full Truck Alliance Co. Ltd,SEC_official,2025-09-19T22:30:34.485321
HTHT,0001483994,"H World Group
Limited",SEC_official,2025-09-19T22:30:34.485321
BILI,0001723690,Bilibili Inc.,SEC_official,2025-09-19T22:30:34.485321
NIO,0001736541,NIO Inc. Limited,SEC_official,2025-09-19T22:30:34.485321
TAL,0001499620,TAL Education Group,SEC_official,2025-09-19T22:30:34.485321
EDU,0001372920,"New Oriental Education & Technology Group, Inc.",SEC_official,2025-09-19T22:30:34.485321
ZK,0001954042,"ZEEKR Intelligent
Holding Ltd",SEC_official,2025-09-19T22:30:34.485321
BZ,0001842827,Kanzhun Limited,SEC_official,2025-09-19T22:30:34.485321
GDS,0001526125,GDS Holdings Limited,SEC_official,2025-09-19T22:30:34.485321
QFIN,0001741530,"Qifu Technology, Inc.",SEC_official,2025-09-19T22:30:34.485321
MNSO,0001815846,Miniso,SEC_official,2025-09-19T22:30:34.485321
PONY,0001969302,Pony AI Inc.,SEC_official,2025-09-19T22:30:34.485321
WRD,0001867729,WeRide Inc.,SEC_official,2025-09-19T22:30:34.485321
KC,0001795589,Kingsoft Cloud,SEC_official,2025-09-19T22:30:34.485321
ATAT,0001853717,"Atour Lifestyle
Holdings",SEC_official,2025-09-19T22:30:34.485321
ZLAB,0001704292,Zai Lab Limited,SEC_official,2025-09-19T22:30:34.485321
ATHM,0001527636,Autohome Inc.,SEC_official,2025-09-19T22:30:34.485321
VNET,0001508475,VNET Group Inc,SEC_official,2025-09-19T22:30:34.485321
HCM,0001648257,"HUTCHMED (China)
Limited",SEC_official,2025-09-19T22:30:34.485321
TUYA,0001829118,Tuya Inc.,SEC_official,2025-09-19T22:30:34.485321
LU,0001816007,Lufax,SEC_official,2025-09-19T22:30:34.485321
WB,0001595761,Weibo Corporation,SEC_official,2025-09-19T22:30:34.485321
