ticker,registrant_name,Country_Address,incorp_state_raw,trading_symbol,filer_category,document_period_end
AACG,ATA Creativity Global,China,Cayman Islands,AACG,Non-accelerated filer,"December 31 , 2024"
AAM,,,,,,
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,China,Cayman Islands,AAPG,Non-accelerated filer,"December 31 , 2024"
ABLV,Able View Global Inc.,China,Cayman Islands,ABLV,Non-accelerated filer,"December 31 , 2024"
ACMR,,,,,,
ADAG,Adagene Inc.,China,Cayman Islands,ADAG,Accelerated Filer,"December 31 , 2024"
AEHL,Antelope Enterprise Holdings Limited,United States of America,British Virgin Islands,AEHL,Non-accelerated filer,"December 31 , 2024"
AGMH,AGM Group Holdings Inc.,Hong Kong,British Virgin Islands,AGMH,Non-accelerated filer,"December 31 , 2024"
AHG,Akso Health Group,China,Cayman Islands,AHG,Non-accelerated filer,"March 31 , 2025"
AIFU,AIFU Inc.,China,Cayman Islands,AIFU,Non-accelerated filer,"December 31 , 2024"
AIHS,,,,,,
AIXI,XIAO-I CORPORATION,China,Cayman Islands,AIXI,Non-accelerated filer,"December 31 , 2024"
ANL,Adlai Nortye Ltd.,Cayman Islands,Cayman Islands,ANL,Non-accelerated filer,"December 31 , 2024"
ANTE,AIRNET TECHNOLOGY INC.,China,Cayman Islands,ANTE,Non-Accelerated Filer,"December 31 , 2024"
ATAT,Atour Lifestyle Holdings Limited,China,Cayman Islands,ATAT,Large Accelerated Filer,"December 31 , 2024"
ATHM,Autohome Inc.,China,Cayman Islands,ATHM,Large accelerated filer,"December 31 , 2024"
ATXG,,,,,,
AZI,AUTOZI INTERNET TECHNOLOGY (GLOBAL) LTD.,China,Cayman Islands,AZI,Non-accelerated filer,"September 30 , 2024"
BABA,Alibaba Group Holding Limited,Hong Kong,Cayman Islands,BABA,Large accelerated filer,"March 31 , 2025"
BAOS,Baosheng Media Group Holdings Ltd,China,Cayman Islands,BAOS,Non-accelerated filer,"December 31, 2024"
BEDU,Bright Scholar Education Holdings Limited,England,Cayman Islands,BEDU,Non-accelerated filer,"August 31 , 2024"
BEKE,KE Holdings Inc.,China,Cayman Islands,BEKE,Large accelerated filer,"December 31 , 2024"
BGM,BGM Group Ltd,China,Cayman Islands,BGM,Non-accelerated filer,"September 30 , 2024"
BHAT,Blue Hat Interactive Entertainment Technology,China,Cayman Islands,BHAT,Non-accelerated filer,"December 31 , 2024"
BIDU,"Baidu, Inc.",China,Cayman Islands,BIDU,Large accelerated filer,"December 31 , 2024"
BILI,Bilibili Inc.,China,Cayman Islands,BILI,Large accelerated filer,"December 31 , 2024"
BNR,Burning Rock Biotech Limited,China,Cayman Islands,BNR,Non-accelerated filer,"December 31 , 2024"
BON,BON NATURAL LIFE LIMITED,China,Cayman Islands,BON,Non-Accelerated Filer,"September 30 , 2024"
BQ,BOQII HOLDING LIMITED,China,Cayman Islands,BQ,Non-accelerated Filer,"March 31 , 2025"
BTCM,BIT Mining Limited,United States of America,Cayman Islands,BTCM,Non-accelerated filer,"December 31 , 2024"
BTCT,BTC Digital Ltd.,Singapore,Cayman Islands,BTCT,Non-accelerated filer,"December 31 , 2024"
BZ,KANZHUN LIMITED,China,Cayman Islands,BZ,Large accelerated filer,"December 31 , 2024"
BZUN,Baozun Inc.,China,Cayman Islands,BZUN,Accelerated filer,"December 31 , 2024"
CAAS,,,,,,
CAN,Canaan Inc.,Singapore,Cayman Islands,CAN,Accelerated filer,"December 31 , 2024"
CANG,Cango Inc.,China,Hong Kong,CANG,Accelerated filer,"December 31 , 2024"
CASI,"CASI PHARMACEUTICALS, INC.",China,Cayman Islands,CASI,Non-accelerated filer,"December 31 , 2024"
CBAT,,,,,,
CCG,Cheche Group Inc.,China,Cayman Islands,CCG,Non-accelerated filer,"December 31 , 2024"
CCM,Concord Medical Services Holdings Ltd,China,Cayman Islands,CCM,Non-accelerated filer,"December 31, 2024"
CDTG,CDT Environmental Technology Investment Holdings Limited,China,Cayman Islands,CDTG,Non-accelerated filer,"December 31 , 2024"
CHNR,"CHINA NATURAL RESOURCES, INC.",Hong Kong,,CHNR,Non-Accelerated Filer,"December 31 , 2024"
CHR,"CHEER HOLDING, INC.",China,Cayman Islands,CHR,Non-accelerated filer,"December 31 , 2024"
CHSN,Chanson International Holding,China,Cayman Islands,CHSN,Non-accelerated filer,"December 31 , 2024"
CLPS,CLPS Incorporation,Hong Kong,Cayman Islands,CLPS,Non-accelerated filer,"June 30 , 2024"
CMCM,Cheetah Mobile Inc.,China,Cayman Islands,CMCM,Non-accelerated filer,"December 31 , 2024"
CNET,,,,,,
CNEY,CN ENERGY GROUP. INC.,China,British Virgin Islands,CNEY,Non-accelerated filer,"September 30, 2024"
CNF,CNFinance Holdings Limited,China,Cayman Islands,CNF,Accelerated Filer,"December 31 , 2024"
COE,51Talk Online Education Group,Singapore,Cayman Islands,COE,Non-accelerated filer,"December 31 , 2024"
CPHI,,,,,,
CPOP,"Pop Culture Group Co., Ltd",China,Cayman Islands,CPOP,Non-accelerated filer,"June 30 , 2024"
CREG,,,,,,
CSIQ,CANADIAN SOLAR INC.,Canada,Ontario,CSIQ,Large accelerated filer,"December 31 , 2024"
DDC,DDC Enterprise Limited,United States of America,Cayman Islands,DDC,Non-accelerated filer,"December 31 , 2024"
DDL,Dingdong (Cayman) Limited,China,Hong Kong,DDL,Large accelerated filer,"December 31 , 2024"
DOGZ,Dogness (International) Corporation,China,British Virgin Islands,DOGZ,Non-accelerated filer,"June 30 , 2024"
DQ,DAQO NEW ENERGY CORP.,China,Cayman Islands,DQ,Large accelerated filer,"December 31 , 2024"
DSWL,"DESWELL INDUSTRIES, INC.",China,British Virgin Islands,DSWL,Non -accelerated filer,"March 31 , 2025"
DTSS,,,,,,
DUO,Fangdd Network Group Ltd.,China,Cayman Islands,DUO,Non-accelerated filer,"December 31 , 2024"
DXST,Decent Holding Inc.,China,Cayman Islands,DXST,Non-accelerated filer,"October 31 , 2024"
EBON,EBANG INTERNATIONAL HOLDINGS INC.,Singapore,Cayman Islands,EBON,Non-accelerated filer,"December 31 , 2024"
EDTK,Skillful Craftsman Education Technology Limited,China,Cayman Islands,EDTK,Non-accelerated filer,"March 31 , 2025"
EDU,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,China,Cayman Islands,EDU,Large accelerated filer,"May 31 , 2025"
EH,EHang Holdings Limited,China,Hong Kong,EH,Accelerated filer,"December 31 , 2024"
EHGO,Eshallgo Inc,China,Cayman Islands,EHGO,Non-accelerated filer,"March 31, 2025"
EJH,E-Home Household Service Holdings Limited,China,Cayman Islands,EJH,Non-Accelerated Filer,"June 30 , 2024"
EM,Smart Share Global Ltd,China,Cayman Islands,EM,Accelerated Filer,"December 31 , 2024"
ENFY,,,,,,
EPOW,"Sunrise New Energy Co., Ltd.",China,Cayman Islands,EPOW,Non-accelerated filer,"December 31 , 2024"
EPWK,,,,,,
EZGO,EZGO Technologies Ltd.,China,British Virgin Islands,EZGO,Non-accelerated filer,"September 30 , 2024"
FEBO,FENBO HOLDINGS LIMITED,Hong Kong,Cayman Islands,FEBO,Non-accelerated filer,"December 31 , 2024"
FEDU,Four Seasons Education (Cayman) Inc.,China,Cayman Islands,FEDU,Non-accelerated filer,February 28
FENG,Phoenix New Media Limited,China,Hong Kong,FENG,Non-accelerated filer,"December 31 , 2024"
FINV,FinVolution Group,China,Cayman Islands,FINV,Large accelerated filer,"December 31 , 2024"
FLX,BingEx Limited,China,Cayman Islands,FLX,Non-accelerated filer,"December 31 , 2024"
FNGR,,,,,,
FTFT,,,,,,
FVNNU,,,,,,
GCT,GIGACLOUD TECHNOLOGY INC,Hong Kong,Cayman Islands,GCT,Non-accelerated filer,"December 31 , 2022"
GDC,,,,,,
GDHG,Golden Heaven Group Holdings Ltd.,China,Cayman Islands,GDHG,Non-accelerated filer,"September 30 , 2024"
GDS,GDS Holdings Limited,China,Cayman Islands,GDS,Large accelerated filer,"December 31 , 2024"
GHG,GreenTree Hospitality Group Ltd.,China,Cayman Islands,GHG,Non-accelerated filer,"December 31 , 2024"
GMM,GLOBAL MOFY AI LIMITED,China,Cayman Islands,GMM,Non-accelerated filer,"September 30 , 2024"
GOTU,Gaotu Techedu Inc.,China,Cayman Islands,GOTU,Accelerated filer,"December 31 , 2024"
GRNQ,,,,,,
GTEC,,,,,,
GURE,,,,,,
HAO,Haoxi Health Technology Limited,China,Cayman Islands,HAO,Non-accelerated filer,"June 30 , 2024"
HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd",China,Cayman Islands,HCAI,Non-accelerated filer,"December 31 , 2024"
HCM,HutchMED (China) LIMITED,Hong Kong,Cayman Islands,HCM,Large accelerated filer,"December 31 , 2024"
HIHO,HIGHWAY HOLDINGS LIMITED,Hong Kong,British Virgin Islands,HIHO,Non-accelerated filer,"March 31 , 2025"
HKIT,HITEK GLOBAL INC.,China,Cayman Islands,HKIT,Non-accelerated filer,"December 31 , 2024"
HSAI,Hesai Group,China,Cayman Islands,HSAI,Accelerated filer,"December 31 , 2024"
HTHT,H World Group Ltd,China,,HTHT,Large accelerated filer,"December 31 , 2024"
HUDI,"Huadi International Group Co., Ltd.",China,Cayman Islands,HUDI,Non-accelerated filer,"September 30 , 2024"
HUHU,HUHUTECH International Group Inc.,China,Cayman Islands,HUHU,Non-accelerated filer,"December 31 , 2024"
HUIZ,Huize Holding Limited,China,Cayman Islands,HUIZ,Non-accelerated filer,"December 31 , 2024"
HUYA,HUYA Inc.,China,Cayman Islands,HUYA,Accelerated Filer,"December 31 , 2024"
ICG,Intchains Group Limited,China,Cayman Islands,ICG,Non-accelerated filer,"December 31 , 2024"
IFBD,"Infobird Co., Ltd",Hong Kong,Cayman Islands,IFBD,Non-accelerated filer,"December 31 , 2024"
IH,iHuman Inc.,China,Cayman Islands,IH,Non-Accelerated Filer,"December 31 , 2024"
ILAG,INTELLIGENT LIVING APPLICATION GROUP INC.,Hong Kong,Cayman Islands,ILAG,Non-accelerated filer,"December 31 , 2024"
INLF,INLIF LIMITED,China,Cayman Islands,INLF,Non-accelerated filer,"December 31 , 2024"
IQ,"iQIYI, Inc.",China,Cayman Islands,IQ,Large accelerated filer,"December 31 , 2024"
ITP,,,,,,
IZM,ICZOOM GROUP INC.,China,Cayman Islands,IZM,Non-accelerated filer,"June 30 , 2024"
