ticker,registrant_name,country_address,incorp_state_raw,legal_form,trading_symbol,filer_category,document_period_end
AACG,ATA Creativity Global,China,Cayman Islands,,AACG,Non-accelerated filer,31-Dec-24
AAM,,,,,,,
AAPG,ASCENTAGE PHARMA GROUP INTERNATIONAL,China,Cayman Islands,,AAPG,Non-accelerated filer,31-Dec-24
ABLV,Able View Global Inc.,China,Cayman Islands,Corporation,ABLV,Non-accelerated filer,31-Dec-24
ACMR,,,,,,,
ADAG,Adagene Inc.,China,Cayman Islands,Corporation,ADAG,Accelerated Filer,31-Dec-24
AEHL,Antelope Enterprise Holdings Limited,United States of America,British Virgin Islands,Limited,AEHL,Non-accelerated filer,31-Dec-24
AGMH,AGM Group Holdings Inc.,Hong Kong,British Virgin Islands,Corporation,AGMH,Non-accelerated filer,31-Dec-24
AHG,Akso Health Group,China,Cayman Islands,,AHG,Non-accelerated filer,31-Mar-25
AIFU,AIFU Inc.,China,Cayman Islands,Corporation,AIFU,Non-accelerated filer,31-Dec-24
AIHS,,,,,,,
AIXI,XIAO-I CORPORATION,China,Cayman Islands,Corporation,AIXI,Non-accelerated filer,31-Dec-24
ANL,Adlai Nortye Ltd.,Cayman Islands,Cayman Islands,Limited,ANL,Non-accelerated filer,31-Dec-24
ATAT,Atour Lifestyle Holdings Limited,China,Cayman Islands,Limited,ATAT,Large Accelerated Filer,31-Dec-24
ATHM,Autohome Inc.,China,Cayman Islands,Corporation,ATHM,Large accelerated filer,31-Dec-24
ATXG,,,,,,,
AZI,AUTOZI INTERNET TECHNOLOGY (GLOBAL) LTD.,China,Cayman Islands,Limited,AZI,Non-accelerated filer,30-Sep-24
BABA,Alibaba Group Holding Limited,Hong Kong,Cayman Islands,Limited,BABA,Large accelerated filer,31-Mar-25
BAOS,Baosheng Media Group Holdings Ltd,China,Cayman Islands,Limited,BAOS,Non-accelerated filer,31-Dec-24
BEDU,Bright Scholar Education Holdings Limited,England,Cayman Islands,Limited,BEDU,Non-accelerated filer,31-Aug-24
BEKE,KE Holdings Inc.,China,Cayman Islands,Corporation,BEKE,Large accelerated filer,31-Dec-24
BGM,BGM Group Ltd,China,Cayman Islands,Limited,BGM,Non-accelerated filer,30-Sep-24
BHAT,Blue Hat Interactive Entertainment Technology,China,Cayman Islands,,BHAT,Non-accelerated filer,31-Dec-24
BIDU,"Baidu, Inc.",China,Cayman Islands,Corporation,BIDU,Large accelerated filer,31-Dec-24
BILI,Bilibili Inc.,China,Cayman Islands,Corporation,BILI,Large accelerated filer,31-Dec-24
BNR,Burning Rock Biotech Limited,China,Cayman Islands,Limited,BNR,Non-accelerated filer,31-Dec-24
BON,BON NATURAL LIFE LIMITED,China,Cayman Islands,Limited,BON,Non-Accelerated Filer,30-Sep-24
BQ,BOQII HOLDING LIMITED,China,Cayman Islands,Limited,BQ,Non-accelerated Filer,31-Mar-25
BTCM,BIT Mining Limited,United States of America,Cayman Islands,Limited,BTCM,Non-accelerated filer,31-Dec-24
BTCT,BTC Digital Ltd.,Singapore,Cayman Islands,Limited,BTCT,Non-accelerated filer,31-Dec-24
BZ,KANZHUN LIMITED,China,Cayman Islands,Limited,BZ,Large accelerated filer,31-Dec-24
BZUN,Baozun Inc.,China,Cayman Islands,Corporation,BZUN,Accelerated filer,31-Dec-24
CAAS,,,,,,,
CAN,Canaan Inc.,Singapore,Cayman Islands,Corporation,CAN,Accelerated filer,31-Dec-24
CANG,Cango Inc.,China,Hong Kong,Corporation,CANG,Accelerated filer,31-Dec-24
CASI,"CASI PHARMACEUTICALS, INC.",China,Cayman Islands,Corporation,CASI,Non-accelerated filer,31-Dec-24
CBAT,,,,,,,
CCG,Cheche Group Inc.,China,Cayman Islands,Corporation,CCG,Non-accelerated filer,31-Dec-24
CCM,Concord Medical Services Holdings Ltd,China,Cayman Islands,Limited,CCM,Non-accelerated filer,31-Dec-24
CDTG,CDT Environmental Technology Investment Holdings Limited,China,Cayman Islands,Limited,CDTG,Non-accelerated filer,31-Dec-24
CHNR,"CHINA NATURAL RESOURCES, INC.",Hong Kong,,Corporation,CHNR,Non-Accelerated Filer,31-Dec-24
CHR,"CHEER HOLDING, INC.",China,Cayman Islands,Corporation,CHR,Non-accelerated filer,31-Dec-24
CHSN,Chanson International Holding,China,Cayman Islands,,CHSN,Non-accelerated filer,31-Dec-24
CLPS,CLPS Incorporation,Hong Kong,Cayman Islands,Corporation,CLPS,Non-accelerated filer,30-Jun-24
CMCM,Cheetah Mobile Inc.,China,Cayman Islands,Corporation,CMCM,Non-accelerated filer,31-Dec-24
CNET,,,,,,,
