parent_ticker, parent_cik10, accession           , exhibit_label, exhibit_year, subsidiary_name_raw                                                                                      , jurisdiction_raw                               , ownership_raw                                , footnote_marker, source_path                                             , parse_confidence
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 1                                                                                                        , Ableview Investment Limited                    , Cayman                                       ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 2                                                                                                        , Ableview Capital Group Ltd.                    , BVI                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 3                                                                                                        , Ableview Cosmetic Limited                      , HK                                           ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 4                                                                                                        , CSS Cosmetic (Hong Kong) Limited               , HK                                           ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 5                                                                                                        , Ableview Management Limited                    , HK                                           ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 6                                                                                                        , Ableview Brands Limited                        , HK                                           ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 7                                                                                                        , Able View Enterprise Limited                   , HK                                           ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 8                                                                                                        , Able View Inc.                                 , Cayman                                       ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 9                                                                                                        , CSS Global Limited                             , BVI                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 10                                                                                                       , Cosmetic Skin Solution Holding Limited         , BVI                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 11                                                                                                       , Healthy Great Pte. Ltd.                        , SGP                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 12                                                                                                       , "Beijing Jingyuan Trading Co., Ltd."           , PRC                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 13                                                                                                       , "Shanghai Jinglu Trading Co., Ltd."            , PRC                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 14                                                                                                       , CSS Cosmetic (Shanghai) Ltd.                   , PRC                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 15                                                                                                       , "Shanghai Jingyue Trading Co., Ltd."           , PRC                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 16                                                                                                       , "Shanghai Weitong Trading Co., Ltd."           , PRC                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
ABLV         ,   0001957489, 0001213900-24-037882, EX-21.1      ,         2024, 17                                                                                                       , "Shanghai Jingnan Medical Instrument Co., Ltd.", PRC                                          ,                , companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "Qinheng Co., Limited"                                                                                   ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "Qiner Co., Limited"                                                                                     ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
