ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
BABA,Alibaba Group Holding Limited,345960,2014-09,21767.0,Technology,"Credit Suisse, Deutsche Bank, Goldman Sachs, JP Morgan Chase, Morgan Stanley, Citigroup",HK
PDD,Pinduoduo Inc.,166541,2018-07,1626.0,Business Services,"CICC, Credit Suisse, Goldman Sachs",
NTES,"NetEase, Inc.",68655,2000-06,,Technology,"Merrill Lynch, Deutsche Bank",HK
JD,"JD.com, Inc.",67875,2014-05,1800.0,Consumer Services,"Merrill Lynch, UBS",HK
TCOM,"Trip.com International, Ltd.",41938,2003-12,76.0,Business Services,Merrill Lynch,HK
BIDU,"Baidu, Inc",33399,2005-08,109.0,Technology,"Goldman Sachs, Piper Jaffray, Credit Suisse",HK
LI,Li Auto,31713,2020-07,1000.0,Consumer Durables,"Goldman Sachs, Morgan Stanley, UBS, CICC",HK
BEKE,KE Holdings,29859,2020-08,2100.0,Real Estate,"Morgan Stanley, China Renaissance, J.P. Morgan",HK
ONC,BeiGene,28163,2016-02,158.0,Health Care,"Goldman Sachs, Morgan Stanley,
Cowen and Company",HK
TME,Tencent Music Entertainment Group,23872,2018-12,1100.0,Technology,"Bank of America, Deutsche Bank, Goldman Sachs, JPMorgan, Morgan Stanley",HK
XPEV,Xpeng,22291,2020-08,1500.0,Technology,"Bank of America Securities, Credit Suisse, J.P. Morgan",HK
YUMC,Yum China Holdings Inc.,18673,2016-11,,Consumer Services,n/a,HK
ZTO,ZTO Express (Cayman) Inc.,16462,2016-10,1406.0,Transportation,"Morgan Stanley, Goldman Sachs",HK
YMM,Full Truck Alliance Co. Ltd,13773,2021-06,1568.0,Transportation,"Morgan Stanley, CICC, Goldman Sachs",
HTHT,"H World Group
Limited",11900,2010-03,110.0,"Consumer
Services","Goldman Sachs, Morgan Stanley",HK
BILI,Bilibili Inc.,10318,2018-03,483.0,Technology,"Merrill Lynch, JP Morgan Chase, Morgan Stanley",HK
NIO,NIO Inc. Limited,9670,2018-09,1000.0,Consumer Durables Services,"Bank of America Merrill Lynch, Citigroup, Credit Suisse, Deutsche Bank, Goldman Sachs, JPMorgan, Morgan Stanley, UBS",HK
TAL,TAL Education Group,8146,2010-10,120.0,Consumer Services,"Credit Suisse, Morgan Stanley",
EDU,"New Oriental Education & Technology Group, Inc.",8132,2006-03,113.0,Consumer Services,"Credit Suisse, Goldman Sachs",HK
ZK,"ZEEKR Intelligent
Holding Ltd",7764,2024-05,441.0,"Consumer
Discretionary","Goldman Sachs (Asia) LLC,
Morgan Stanley Asia Limited,
Merrill Lynch (Asia Pacific)
Limited, China International
Capital Corporation Hong Kong
Securities Limited",
